network,siteid,siteName,county,state,latitude,longitude,elevation,status,startdate,stopdate
NTN,OR99,Schmidt Farm,Benton,OR,44.6264,-123.2139,69,I,1979-12-26 06:00,1983-04-26 05:00
NTN,PA00,Arendtsville,Adams,PA,39.9231,-77.3078,269,A,1999-01-26 06:00,
NTN,PA02,Crooked Creek Lake,Armstrong,PA,40.7131,-79.5144,294,I,2011-07-27 05:00,2017-06-07 05:00
NTN,PA13,Allegheny Portage Railroad National Historic Site,Cambria,PA,40.4570,-78.5600,739,A,2011-07-26 05:00,
NTN,PA15,Penn State,Centre,PA,40.7883,-77.9458,393,A,1983-06-07 05:00,
NTN,PA18,Young Woman's Creek,Clinton,PA,41.4142,-77.6799,272,A,1999-04-20 05:00,
NTN,PA21,Goddard State Park,Crawford,PA,41.4271,-80.1451,385,I,2011-07-26 05:00,2017-06-20 05:00
NTN,PA29,Kane Experimental Forest,Elk,PA,41.5978,-78.7675,618,A,1978-07-18 05:00,
NTN,PA30,Erie,Erie,PA,42.1558,-80.1134,177,A,2011-07-27 05:00,
NTN,PA42,Leading Ridge,Huntingdon,PA,40.6575,-77.9397,287,A,1979-04-25 05:00,
NTN,PA47,Millersville,Lancaster,PA,39.9909,-76.3856,84,I,2002-11-21 06:00,2017-06-27 05:00
NTN,PA52,Little Pine State Park,Lycoming,PA,41.3639,-77.3561,228,I,2011-07-26 05:00,2017-06-06 05:00
NTN,PA60,Valley Forge,Montgomery,PA,40.1166,-75.8833,46,I,2011-07-26 05:00,2017-06-05 05:00
NTN,PA71,Little Buffalo State Park,Perry,PA,40.4603,-77.1692,155,I,2011-07-26 05:00,2017-05-29 05:00
NTN,PA72,Milford,Pike,PA,41.3273,-74.8199,212,A,1983-12-27 06:00,
NTN,PA83,Laurel Hill State Park,Somerset,PA,39.9869,-79.2544,594,I,2011-07-26 05:00,2017-10-04 05:00
NTN,PA90,Hills Creek State Park,Tioga,PA,41.8043,-77.1903,476,I,2011-07-26 05:00,2019-07-02 05:00
NTN,PA98,Frances Slocum State Park,Luzerne,PA,41.3445,-75.8901,370,I,2011-07-26 05:00,2018-07-03 05:00
NTN,PR20,El Verde,Rio Grande,PR,18.3206,-65.8200,380,A,1985-02-12 06:00,
NTN,SC03,Savannah River,Barnwell,SC,33.2450,-81.6505,90,I,2011-12-13 06:00,2017-06-13 05:00
NTN,SC05,Cape Romain National Wildlife Refuge,Charleston,SC,32.9430,-79.6592,1,A,2000-11-21 06:00,
NTN,SC06,Santee National Wildlife Refuge,Clarendon,SC,33.5394,-80.4350,24,A,1984-07-19 05:00,
NTN,SC07,ACE Basin National Estuarine Research Reserve,Colleton,SC,32.5993,-80.4554,1,I,2001-12-31 06:00,2007-12-25 06:00
NTN,SC11,North Inlet-Winyah Bay National Estuarine Research Reserve,Georgetown,SC,33.3497,-79.1888,0,I,2002-01-08 06:00,2009-01-08 06:00
NTN,SC18,Clemson,Pickens,SC,34.6239,-82.7342,256,I,1979-03-27 06:00,1986-06-17 05:00
